245,100,100
5,100,100
5,100,101
5,102,101
5,104,107
5,109,114
5,115,120
5,125,125
4,94,87
4,96,87
4,100,96
6,109,98
6,118,103
9,126,106
9,133,117
8,115,100
8,119,104
10,122,113
8,123,114
8,120,115
7,124,114
9,119,115
8,118,110
8,116,113
8,116,112
8,115,108
8,114,111
8,121,118
8,126,115
7,120,118
7,125,118
7,119,119
10,119,114
13,125,111
13,121,110
13,123,109
13,117,100
13,112,103
13,116,101
13,117,100
12,120,97
14,116,103
12,117,100
12,114,104
12,114,103
13,113,101
12,108,102
14,106,102
12,107,105
14,102,109
14,100,100
17,98,95
17,92,100
17,93,97
15,93,103
14,98,101
14,93,97
17,87,101
18,80,104
18,82,90
18,75,90
19,70,90
21,72,85
24,74,85
22,73,82
21,76,76
21,73,84
20,72,84
20,77,79
19,86,83
19,90,88
21,90,85
20,88,90
20,89,85
25,95,90
23,94,96
26,83,100
25,83,96
25,84,90
29,82,93
29,82,100
30,83,99
34,75,95
32,76,91
33,75,88
34,72,84
33,71,80
34,73,79
36,73,80
38,71,81
35,66,78
34,70,79
35,69,79
36,69,81
35,62,79
33,63,80
33,68,80
36,64,79
41,63,79
41,63,81
43,72,82
41,70,80
40,71,78
38,67,78
43,64,77
45,58,76
47,63,87
53,60,85
56,55,89
58,57,91
57,53,88
56,53,90
58,52,87
60,51,84
57,53,82
58,54,81
55,49,82
58,48,84
60,48,82
59,45,83
64,50,77
62,53,75
64,56,76
67,59,75
72,56,76
69,55,79
68,55,80
66,51,79
71,49,80
72,49,81
83,43,77
78,43,72
75,37,71
83,41,68
85,40,64
92,34,65
98,31,62
96,34,61
102,30,55
101,30,48
104,29,49
111,29,49
109,29,47
108,32,50
102,32,50
114,30,53
121,28,56
119,26,58
123,26,61
130,23,61
132,21,56
141,19,52
138,20,52
145,21,49
146,22,46
153,20,36
158,17,36
160,18,38
164,16,37
170,15,34
174,16,32
176,14,35
174,14,36
182,15,34
181,13,34
183,14,35
180,14,33
183,15,32
185,14,32
184,11,32
181,9,34
174,10,37
164,11,38
166,12,36
166,10,38
167,9,38
169,8,45
170,7,45
177,8,44
183,9,41
185,8,44
184,8,44
195,9,39
198,8,36
200,7,33
207,7,35
212,6,34
211,5,30
216,5,29
213,3,31
212,3,29
214,2,27
214,2,26
211,2,24
207,2,25
216,1,21
214,1,20
219,1,18
218,2,19
223,2,19
212,1,19
208,1,20
202,1,20
193,1,23
186,2,22
183,1,21
178,1,22
182,2,22
177,2,19
172,2,18
181,2,17
185,1,16
188,1,16
191,1,13
184,1,12
194,1,13
201,1,11
204,1,9
202,1,6
205,1,7
208,1,9
208,1,7
216,1,6
232,1,6
234,1,5
233,2,6
237,3,5
244,3,4
240,3,3
245,3,3
240,2,3
248,2,1
255,2,1
251,2,1
252,2,1
259,1,1
264,1,1
263,1,1
270,1,1
271,1,0
269,0,0
