Cannibal,collective,NormalLobsters,CannibalCount,CollectiveCount,NormalLobstersCount 
5,100,100
5,102,114
5,108,127
5,124,143
5,142,170
5,161,187
7,170,205
11,176,218
13,132,174
13,129,165
13,112,141
19,88,113
19,69,84
19,62,72
15,47,57
14,42,49
13,37,46
15,34,43
15,28,36
17,26,32
17,20,31
21,16,28
21,13,21
24,11,22
24,10,18
24,9,15
24,6,11
24,6,11
21,6,7
19,5,6
19,4,6
18,2,5
17,1,4
17,1,3
17,1,3
17,1,2
17,1,2
17,1,1
17,1,0
16,1,0
16,1,0
15,1,0
15,1,0
15,1,0
16,1,0
20,1,0
21,1,0
26,1,0
26,1,0
35,1,0
49,1,0
53,2,0
59,3,0
70,2,0
76,2,0
92,2,0
100,2,0
120,2,0
129,2,0
141,2,0
150,2,0
172,2,0
181,2,0
184,2,0
194,2,0
201,1,0
211,1,0
225,1,0
230,1,0
241,1,0
248,1,0
254,1,0
262,1,0
272,0,0
